low,high,dur_label,vol_at_bucket,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.1,≤1h,all,baseline,2514,0.10938743038981702,0.0938743038981702,1301,0.1037663335895465,0.037663335895465,0.1,true,false
0.05,0.1,≤1h,all,EXP_HIGH+MID ≥50%,435,0.1632183908045977,0.632183908045977,401,0.14713216957605985,0.47132169576059835,0.1,true,false
0.05,0.1,≤1h,all,EXP_HIGH+MID ≥80%,327,0.1926605504587156,0.926605504587156,322,0.13354037267080746,0.3354037267080745,0.1,true,false
0.05,0.1,≤1h,all,nw≥4 + EXP_HIGH+MID ≥50%,121,0.11570247933884298,0.15702479338842967,140,0.17857142857142858,0.7857142857142856,0.1,true,false
0.05,0.1,≤1h,all,FRESH+NEW+SEMI ≥50% (fade),1241,0.08702659145850121,-0.129734085414988,458,0.06331877729257641,-0.3668122270742359,0.1,false,true
0.05,0.1,≤1h,<$1K,baseline,230,0.18695652173913044,0.8695652173913042,82,0.1951219512195122,0.9512195121951219,0.1,true,false
0.05,0.1,≤1h,<$1K,EXP_HIGH+MID ≥50%,37,0.1891891891891892,0.8918918918918919,16,0.125,0.25,0.1,true,false
0.05,0.1,≤1h,<$1K,EXP_HIGH+MID ≥80%,32,0.21875,1.1875,16,0.125,0.25,0.1,true,false
0.05,0.1,≤1h,<$1K,FRESH+NEW+SEMI ≥50% (fade),120,0.2,1.0,39,0.20512820512820512,1.051282051282051,0.1,true,false
0.05,0.1,≤1h,$1K-10K,baseline,212,0.14150943396226415,0.4150943396226414,128,0.0546875,-0.453125,0.1,false,false
0.05,0.1,≤1h,$1K-10K,EXP_HIGH+MID ≥50%,51,0.11764705882352941,0.17647058823529393,35,0.11428571428571428,0.1428571428571428,0.1,true,false
0.05,0.1,≤1h,$1K-10K,EXP_HIGH+MID ≥80%,40,0.125,0.25,31,0.12903225806451613,0.29032258064516125,0.1,true,false
0.05,0.1,≤1h,$1K-10K,nw≥4 + EXP_HIGH+MID ≥50%,5,0.0,-1.0,5,0.0,-1.0,0.1,false,true
0.05,0.1,≤1h,$1K-10K,FRESH+NEW+SEMI ≥50% (fade),93,0.10752688172043011,0.07526881720430101,45,0.044444444444444446,-0.5555555555555556,0.1,false,false
0.05,0.1,≤1h,$10K-100K,baseline,1326,0.10935143288084465,0.09351432880844635,577,0.1022530329289428,0.022530329289427886,0.1,true,false
0.05,0.1,≤1h,$10K-100K,EXP_HIGH+MID ≥50%,235,0.19574468085106383,0.9574468085106382,167,0.16766467065868262,0.6766467065868262,0.1,true,false
0.05,0.1,≤1h,$10K-100K,EXP_HIGH+MID ≥80%,181,0.23204419889502761,1.320441988950276,133,0.15789473684210525,0.5789473684210524,0.1,true,false
0.05,0.1,≤1h,$10K-100K,nw≥4 + EXP_HIGH+MID ≥50%,59,0.11864406779661017,0.18644067796610164,45,0.13333333333333333,0.33333333333333326,0.1,true,false
0.05,0.1,≤1h,$10K-100K,FRESH+NEW+SEMI ≥50% (fade),646,0.07275541795665634,-0.2724458204334367,212,0.04716981132075472,-0.5283018867924528,0.1,false,true
